P&L Calc: interval=5m, tradeNum=4, prev_price=1.1845, new_price=1.1892, size=1.0, pnl=-0.0047
P&L Calc: interval=15m, tradeNum=2, prev_price=1.1849, new_price=1.1893, size=1.0, pnl=-0.0044
P&L Calc: interval=5m, tradeNum=5, prev_price=1.1892, new_price=1.1882, size=1.0, pnl=0.001
P&L Calc: interval=15m, tradeNum=3, prev_price=1.1893, new_price=1.1856, size=1.0, pnl=0.0037
P&L Calc: interval=5m, tradeNum=2, prev_price=1.1844, new_price=1.1854, size=1.0, pnl=-0.001
P&L Calc: interval=5m, tradeNum=3, prev_price=1.1854, new_price=1.1849, size=1.0, pnl=0.0005
P&L Calc: interval=15m, tradeNum=2, prev_price=1.1856, new_price=1.1853, size=1.0, pnl=0.0003
P&L Calc: interval=5m, tradeNum=4, prev_price=1.1849, new_price=1.1867, size=1.0, pnl=-0.0018
P&L Calc: interval=5m, tradeNum=5, prev_price=1.1867, new_price=1.1866, size=1.0, pnl=0.0001
P&L Calc: interval=5m, tradeNum=6, prev_price=1.1866, new_price=1.1850, size=1.0, pnl=0.0016
P&L Calc: interval=15m, tradeNum=3, prev_price=1.1853, new_price=1.1844, size=1.0, pnl=0.0009
P&L Calc: interval=5m, tradeNum=7, prev_price=1.1850, new_price=1.1833, size=1.0, pnl=0.0017
P&L Calc: interval=5m, tradeNum=8, prev_price=1.1833, new_price=1.1829, size=1.0, pnl=0.0004
P&L Calc: interval=5m, tradeNum=9, prev_price=1.1829, new_price=1.1825, size=1.0, pnl=0.0004
P&L Calc: interval=15m, tradeNum=4, prev_price=1.1844, new_price=1.1831, size=1.0, pnl=0.0013
P&L Calc: interval=5m, tradeNum=2, prev_price=1.1832, new_price=1.1834, size=1.0, pnl=-0.0002
P&L Calc: interval=5m, tradeNum=3, prev_price=1.1834, new_price=1.1827, size=1.0, pnl=0.0007
P&L Calc: interval=5m, tradeNum=4, prev_price=1.1827, new_price=1.1814, size=1.0, pnl=0.0013
P&L Calc: interval=15m, tradeNum=2, prev_price=1.1823, new_price=1.1830, size=1.0, pnl=-0.0007
P&L Calc: interval=5m, tradeNum=2, prev_price=1.1817, new_price=1.1829, size=1.0, pnl=-0.0012
P&L Calc: interval=5m, tradeNum=3, prev_price=1.1829, new_price=1.1833, size=1.0, pnl=-0.0004
P&L Calc: interval=5m, tradeNum=4, prev_price=1.1833, new_price=1.1861, size=1.0, pnl=-0.0028
P&L Calc: interval=5m, tradeNum=5, prev_price=1.1861, new_price=1.1867, size=1.0, pnl=-0.0006
P&L Calc: interval=5m, tradeNum=6, prev_price=1.1867, new_price=1.1818, size=1.0, pnl=0.0049
P&L Calc: interval=5m, tradeNum=7, prev_price=1.1818, new_price=1.1808, size=1.0, pnl=0.001
P&L Calc: interval=5m, tradeNum=2, prev_price=1.1815, new_price=1.1827, size=1.0, pnl=-0.0012
P&L Calc: interval=5m, tradeNum=3, prev_price=1.1827, new_price=1.1831, size=1.0, pnl=-0.0004
P&L Calc: interval=15m, tradeNum=2, prev_price=1.1815, new_price=1.1827, size=1.0, pnl=-0.0012
P&L Calc: interval=5m, tradeNum=4, prev_price=1.1831, new_price=1.1836, size=1.0, pnl=-0.0005
P&L Calc: interval=5m, tradeNum=5, prev_price=1.1836, new_price=1.1829, size=1.0, pnl=0.0007
P&L Calc: interval=5m, tradeNum=2, prev_price=1.2781, new_price=1.2757, size=1.0, pnl=0.0024
